lang	avg_len	lstm
Aalsmeer NH	4.964912280701754	2.910362912897478
Aalten Gl	4.803571428571429	3.533395222255162
Aardenburg Ze	4.631578947368421	3.2778826261821545
Aarlanderveen ZH	5.0701754385964914	2.8445852179276314
Abbekerk NH	4.872727272727273	3.3547698974609377
Achterberg Ut	4.785714285714286	3.198990958077567
Aduard Gn	4.425925925925926	3.4916209468135126
Afferden Lb	4.785714285714286	3.495760236467634
Almen Gl	4.75	3.394106183733259
Almkerk NB	4.709090909090909	3.318280584161932
Alphen NB	4.807017543859649	3.2295307360197367
Ameide ZH	4.857142857142857	3.2339466639927457
Amersfoort Ut	5.315789473684211	2.9995015462239585
Angerlo Gl	4.944444444444445	3.3041407267252603
Anloo Dr	4.607142857142857	3.243882860456194
Apeldoorn Gl	4.754385964912281	3.512208102042215
Appingedam Gn	4.517857142857143	3.26074709211077
Arnemuiden Ze	5.017543859649122	3.124831350226151
Austerlitz Ut	5.385964912280702	2.948320890727796
Axel Ze	4.56140350877193	3.523518880208333
Baarle-Nassau NB	4.642857142857143	3.282262529645647
Bakel NB	4.830188679245283	3.391326328493514
Balkbrug Ov	4.727272727272728	3.4848427512428977
Barger-Oosterveld Dr	4.875	3.248661313738142
Barneveld Gl	5.109090909090909	3.297327769886364
Bathmen Ov	4.345454545454546	3.535843450372869
Beek NB	4.614035087719298	3.456168191474781
Bellingwolde Gn	4.527272727272727	3.261191073330966
Benschop Ut	4.87719298245614	3.3545687491433664
Bergen op Zoom NB	4.696428571428571	3.0658697400774275
Bergentheim Ov	4.446428571428571	3.4859981536865234
Berkel-Oud ZH	5.2407407407407405	2.9017712628399885
Bleskensgraaf ZH	5.410714285714286	2.9492318289620534
Blokzijl Ov	4.5	3.246016638619559
Boekel NB	4.824561403508772	3.406982421875
Borculo Gl	4.701754385964913	3.4909368146929824
Borkel NB	4.771929824561403	3.455782706277412
Borne Ov	4.163636363636364	3.7456240567294032
Boven-Hardinxveld ZH	5.0	2.9568679244429976
Boxtel NB	4.842105263157895	3.3494182385896383
Breda NB	5.245614035087719	3.093834860283032
Bredevoort Gl	4.982142857142857	3.344529288155692
Breskens Ze	4.473684210526316	3.522425601356908
Brielle ZH	4.859649122807017	3.138261761581689
Brouwershaven Ze	5.109090909090909	3.2558837890625
Brummen Gl	4.875	3.4079192025320872
Brunssum Lb	4.481481481481482	3.563603153935185
Budel NB	4.642857142857143	3.3331710270472934
Buurmalsen Gl	4.732142857142857	3.407518114362444
Callantsoog NH	4.964912280701754	3.213892886513158
Coevorden Dr	4.581818181818182	3.2794189453125
Culemborg Gl	4.773584905660377	3.340972036685584
Dalfsen Ov	4.631578947368421	3.542937697025768
De Lier ZH	4.962264150943396	3.0571766979289503
De Lutte Ov	4.264150943396227	3.4230162422612027
De Rijp NH	4.964285714285714	3.2602735246930803
Dedemsvaart Ov	4.571428571428571	3.432195390973772
Deil Gl	5.107142857142857	3.3531409672328403
Delden Ov	4.303571428571429	3.611157826014928
Delft ZH hoog	5.052631578947368	3.134954619825932
Delft ZH laag	5.0701754385964914	3.3798750492564418
Den Dungen NB	4.754385964912281	3.448871010228207
Den Ham Ov	4.490909090909091	3.6491247003728695
Den Hoorn NH	4.842105263157895	3.3190275493421053
Den Oever NH	5.0	3.229815891810826
Deurne NB	4.745454545454545	3.4254169810901987
Deventer Ov	5.2	3.2128001819957386
Didam Gl	4.631578947368421	3.4283209014357183
Diemen NH	5.368421052631579	2.918476573207922
Diepenveen Ov	4.719298245614035	3.410776506390488
Dieren Gl	5.035714285714286	3.1306005205426897
Dodewaard Gl	4.714285714285714	3.316964558192662
Doesburg Gl	5.12280701754386	3.4511940939384598
Doetinchem Gl	5.107142857142857	3.149786812918527
Dongen NB	4.807017543859649	3.352752150150768
Doornspijk Gl	4.482142857142857	3.259939193725586
Driebruggen ZH	5.464285714285714	2.7934608459472656
Druten Gl	4.803921568627451	3.3666654100605085
Dwingeloo Dr	4.732142857142857	3.3162563868931363
Echt Lb	4.618181818181818	3.6028037331321023
Edam NH	5.140350877192983	2.936684859426398
Ede Gl	4.714285714285714	3.374865395682199
Eede Ze	4.649122807017544	3.2003326416015625
Eelde Dr	4.589285714285714	3.2051993778773715
Eenrum Gn	4.611111111111111	3.263050503200955
Eexterveen Dr	4.660714285714286	3.1593706948416576
Egmond aan Zee NH	4.660714285714286	3.1494712829589844
Egmond-Binnen NH	4.875	3.140820094517299
Eibergen Gl	4.754385964912281	3.501179209926672
Eijsden Lb	4.672727272727273	3.42513427734375
Eindhoven NB	4.771929824561403	3.1499467816269187
Elburg Gl	4.7407407407407405	3.3005540635850696
Enkhuizen NH	5.142857142857143	3.0037389482770647
Epen Lb	4.52	3.413208923339844
Fijnaart NB	5.4035087719298245	2.982429905941612
Finsterwolde Gn	4.732142857142857	3.1268182482038225
Garderen Gl	5.2631578947368425	3.2691203334875274
Gasselte Dr	4.596491228070176	3.052979854115269
Geldrop NB	4.631578947368421	3.395526819061814
Genemuiden Ov	4.581818181818182	3.355773093483665
Gerwen NB	4.767857142857143	3.514054162161691
Giesbeek Gl	5.017543859649122	3.111973812705592
Giethoorn Ov	4.7368421052631575	3.4044992547286186
Goes Ze	5.298245614035087	3.0885812859786186
Goirle NB	4.642857142857143	3.354705265590123
Gorssel Gl	4.821428571428571	3.572870526994978
Gouda ZH	5.315789473684211	2.8434014571340462
Gouderak ZH	5.313725490196078	2.9213439343022367
Goudswaard ZH	4.912280701754386	3.189446164850603
Grave NB	4.54	3.433939208984375
Grijpskerk Gn	4.56140350877193	3.360121877569901
Grijpskerke Ze	5.087719298245614	3.190715321323328
Groenekan Ut	4.839285714285714	3.1262258802141463
Groenlo Gl	4.982142857142857	3.435691561017717
Groesbeek Gl	4.857142857142857	3.2811595371791293
Gronsveld Lb	4.563636363636364	3.464088856090199
Grubbenvorst Lb	4.771929824561403	3.281294973273026
Gulpen Lb	4.490566037735849	3.40184164946934
Haaksbergen Ov	4.381818181818182	3.7007285378196015
Haamstede Ze	5.017857142857143	3.2925022670200894
Haps NB	4.517857142857143	3.4222815377371654
Hardenberg Ov	4.56140350877193	3.536310028611568
Harderwijk Gl	5.105263157894737	3.094485901949698
Hasselt Ov	4.614035087719298	3.4316125167043587
Hattem Gl	4.428571428571429	3.488174165998186
Havelte Dr	4.7368421052631575	3.329379968475877
Heerde Gl	4.571428571428571	3.700524738856725
Heerewaarden Gl	4.796296296296297	3.3279797589337385
Hei- en Boeicop ZH	5.0181818181818185	3.1929526589133523
Heinkenszand Ze	5.12280701754386	3.234009859854715
Heino Ov	4.385964912280702	3.5542757803933664
Hellendoorn Ov	4.208333333333333	4.178852399190267
Hellevoetsluis ZH	5.125	2.9761456080845425
Helmond NB	4.767857142857143	3.338819776262556
Hengelo Gl	4.947368421052632	3.39776397169682
Herkingen ZH	4.964912280701754	3.049311587685033
Heteren Gl	5.0	3.334168035333807
Hierden Gl	4.859649122807017	3.3455569618626644
Hilvarenbeek NB	4.631578947368421	3.1248056512129936
Hoedekenskerke Ze	4.912280701754386	3.294831660755894
Hoenderloo Gl	5.053571428571429	3.130706242152623
Hollandsche Veld Dr	4.785714285714286	3.150437491280692
Hooghalen Dr	4.508771929824562	3.156390541478207
Hoonhorst Ov	4.56140350877193	3.684098360831277
Hoorn NH	4.912280701754386	3.1727624190481087
Horn Lb	4.649122807017544	3.488264117324561
Houten Ut	5.214285714285714	3.141520363943917
Huijbergen NB	4.982142857142857	3.115100860595703
Huizen NH	5.4035087719298245	3.0515310722484923
Hunsel Lb	4.666666666666667	3.294248882092928
IJmuiden NH	4.982456140350878	3.312893783837034
IJsselmuiden Ov	4.824561403508772	3.3885316012198463
IJzendijke Ze	4.830188679245283	3.573100539873231
Ingen Gl	4.946428571428571	3.365513120378767
Jutphaas Ut	4.87719298245614	3.149007161458333
Kamerik Ut	5.017543859649122	2.953955131664611
Kampen Ov	4.517857142857143	3.520568302699498
Kantens Gn	4.428571428571429	3.3479745047433034
Katwijk aan Zee ZH	4.90566037735849	2.978365916126179
Kedichem ZH	5.160714285714286	3.1487415858677457
Kerkrade Lb	4.795918367346939	3.44564134247449
Kessel NB	4.842105263157895	3.434396041067023
Klaaswaal ZH	5.035087719298246	3.023941843133224
Kloosterzande Ze	5.017857142857143	3.016521453857422
Koedijk NH	4.982456140350878	3.195584481222588
Koekange Dr	4.553571428571429	3.152435302734375
Koewacht Ze	4.821428571428571	3.0892410278320312
Kortgene Ze	5.0701754385964914	3.0957807574355813
Koudekerk aan den Rijn ZH	5.175438596491228	2.853524191337719
Kruiningen Ze	4.7368421052631575	3.2869642826548797
Kuinre Ov	4.381818181818182	3.4650623668323863
Lage Zwaluwe NB	4.824561403508772	2.995660614549068
Laren Gl	4.526315789473684	3.554683484529194
Laren NH	4.872727272727273	3.2698713822798298
Leende NB	4.642857142857143	3.42074339730399
Leermens Gn	5.0	3.1354985822711074
Lekkerkerk ZH	4.678571428571429	3.192194529942104
Lemele Ov	4.555555555555555	3.6456468370225696
Lent Gl	4.660714285714286	3.3687542506626675
Lichtenvoorde Gl	4.963636363636364	3.4722972523082385
Lochem Gl	4.625	3.532163892473493
Loenen Gl	4.607142857142857	3.597141538347517
Loenen Ut	4.928571428571429	3.298242841448103
Loon op Zand NB	4.803571428571429	3.3097239903041293
Maasbree Lb	4.648148148148148	3.4607470477068865
Maastricht Lb	4.527272727272727	3.4758752996271305
Marken NH	5.053571428571429	2.944911411830357
Marum Gn	4.701754385964913	3.241054334138569
Meerssen Lb	4.611111111111111	3.411834716796875
Meije ZH	4.945454545454545	3.2873879172585228
Meijel Lb	4.614035087719298	3.474481950726425
Meppel Dr	4.732142857142857	3.310500008719308
Middelburg Ze	4.928571428571429	3.2007514408656528
Middelharnis ZH	5.388888888888889	3.08869312427662
Middelie NH	4.928571428571429	3.196178436279297
Midwolda Gn	4.472727272727273	3.5197459827769886
Monnickendam NH	5.052631578947368	2.9206417150664747
Mussel Gn	4.454545454545454	3.3699851296164773
Nederweert Lb	4.678571428571429	3.364636012486049
Neede Gl	4.614035087719298	3.5095474510862115
Nieuw-Schoonebeek Dr	4.732142857142857	3.083206449236189
Nijmegen Gl	4.631578947368421	3.2790203429104987
Nijverdal Ov	4.391304347826087	3.937854269276495
Nistelrode NB	4.771929824561403	3.284544827645285
Noordeloos ZH	4.910714285714286	3.271686281476702
Norg Dr	4.701754385964913	3.141755756578948
Nunspeet Gl	4.672727272727273	3.382978682084517
Oerle NB	4.678571428571429	3.66910035269601
Oijen NB	4.875	3.3802571977887834
Oirschot NB	4.722222222222222	3.4119319209346064
Oisterwijk NB	4.631578947368421	3.501551577919408
Oldemarkt Ov	4.589285714285714	3.5024452209472656
Oldenzaal Ov	4.857142857142857	3.449073246547154
Onstwedde Gn	4.4363636363636365	3.344667746803977
Ooltgensplaat ZH	4.818181818181818	3.3528891823508524
Oosterbeek Gl	5.181818181818182	3.115125621448864
Oosterland Ze	5.385964912280702	3.079803466796875
Ootmarsum Ov	4.410714285714286	3.461833953857422
Opperdoes NH	4.842105263157895	3.2621920401589914
Ospel Lb	4.87719298245614	3.3857239840323463
Ossendrecht NB	4.596491228070176	3.3939664071066336
Otterlo Gl	5.280701754385965	3.074495549787555
Ottersum Lb	4.672727272727273	3.4236194957386363
Oud-Charlois ZH	5.052631578947368	3.1011978952508223
Ouddorp ZH	5.230769230769231	3.086646740253155
Oude Pekela Gn	4.826923076923077	3.2938470106858477
Oude-Tonge ZH prot	4.875	3.324286869594029
Oude-Tonge ZH rk	5.107142857142857	3.103910446166992
Oudewater Ut	4.982456140350878	3.175846032929002
Oud-Vossemeer Ze	5.350877192982456	3.060474061129386
Panningen Lb	4.482142857142857	3.4669385637555803
Papendrecht ZH	4.660714285714286	3.257953643798828
Piershil ZH	5.428571428571429	2.958788735525949
Poederoijen Gl	4.982142857142857	3.451239994594029
Posterholt Lb	4.571428571428571	3.419097900390625
Putten Gl	5.232142857142857	3.0325224740164622
Puttershoek ZH	5.4	2.9598765980113635
Raalte Ov	4.482142857142857	3.5891571044921875
Reek NB	4.947368421052632	3.31865089818051
Renkum Gl	4.945454545454545	3.3768354936079548
Reusel NB	4.666666666666667	3.3607330322265625
Reuver Lb	4.578947368421052	3.4699993468167487
Rhenen Ut	4.836363636363636	3.2611400257457386
Rijkevoort NB	4.7368421052631575	3.436034888551946
Rijsbergen NB	4.7368421052631575	3.2067314281798245
Rijssen Ov	4.777777777777778	3.623695656105324
Rilland Ze	5.178571428571429	3.2135328565325056
Roderwolde Dr	4.56140350877193	3.1940618146929824
Roermond Lb	4.75925925925926	3.295461584020544
Roggel Lb	4.649122807017544	3.567314817194353
Roodeschool Gn	4.701754385964913	3.2746954131544683
Roosendaal NB	4.947368421052632	3.091546845017818
Rossum Ov	4.12962962962963	3.5805740356445312
Roswinkel Dr	4.660714285714286	3.1785496303013394
Rotterdam ZH	4.771929824561403	3.104651735540022
Rouveen Ov	4.660714285714286	3.4912316458565846
Rozendaal Gl	4.636363636363637	3.310658680308949
Ruinen Dr	4.947368421052632	3.436380486739309
Ruurlo Gl	4.491228070175438	3.603335731907895
Schagen NH	4.892857142857143	3.294207436697824
Scheemda Gn	4.87719298245614	3.219672487493147
Schelluinen ZH	5.089285714285714	3.3184400285993303
Scheveningen ZH	5.178571428571429	2.782876423427037
Schinnen Lb	4.62962962962963	3.341959352846499
Schoonebeek Dr	4.553571428571429	3.337423869541713
Schoonoord Dr	4.596491228070176	3.1668412057976973
Sellingen Gn	4.472727272727273	3.454812344637784
Serooskerke Ze	5.017543859649122	3.116680479886239
Sevenum Lb	4.727272727272728	3.346722966974432
s-Heerenberg Gl	4.642857142857143	3.396407263619559
s-Heerenbroek Ov	5.178571428571429	2.9888035910470143
s-Hertogenbosch NB	4.666666666666667	3.495866474352385
Silvolde Gl	4.7368421052631575	3.518953022203948
Sint Jansteen Ze	4.771929824561403	3.481562028851425
Sint Maartensdijk Ze	4.964912280701754	3.1834079675507128
Sint-Annen Gn	4.462962962962963	3.32866527416088
Sint-Oedenrode NB	4.789473684210527	3.3568495365611293
Sittard Lb	4.472727272727273	3.3941370183771307
Slagharen Ov	4.535714285714286	3.5050501142229358
Sliedrecht ZH	4.859649122807017	3.1934305826822915
Slochteren Gn	4.571428571428571	3.250350952148437
Smilde Dr	4.625	3.324048178536551
Someren NB	4.714285714285714	3.351043156215123
Spakenburg Ut	4.9818181818181815	3.0602189497514205
Spanbroek NH	4.964285714285714	3.104449135916574
Stadskanaal Gn	4.490909090909091	3.010265003551136
Steenbergen NB	4.982456140350878	3.232603374280428
Steenderen Gl	5.140350877192983	3.328777915553043
Steenwijk Ov	4.508771929824562	3.3916679516173245
Stokkum Ov	4.642857142857143	3.5764380863734653
Stolwijk ZH	5.142857142857143	2.967776434762137
Stompwijk ZH	5.035714285714286	2.9508285522460938
Susteren Lb	4.654545454545454	3.4025312943892048
Tegelen Lb	4.607142857142857	3.3130580357142856
Ter Apel Gn	4.607142857142857	3.0948497227260043
Teuge Gl	4.714285714285714	3.38915525163923
Tiel Gl	4.727272727272728	3.225899436257102
Tienray Lb	4.7368421052631575	3.4578498706483005
Tilburg NB	4.684210526315789	3.426322000068531
Tilligte Ov	4.188679245283019	3.4765662427218453
Tubbergen Ov	4.254545454545455	3.618234252929688
Ulft Gl	5.228070175438597	3.178493566680373
Urk Fl	5.214285714285714	3.045856475830078
Ursem NH	4.892857142857143	3.195702144077846
Usselo Ov	4.109090909090909	3.5956076882102272
Utrecht Ut	4.982456140350878	3.2909160413240133
Vaals Lb	4.659574468085107	3.3671047129529588
Vaassen Gl	4.945454545454545	3.3156815962357955
Valthermond Dr	4.767857142857143	3.1211155482700894
Varsseveld Gl	4.732142857142857	3.403806686401367
Veendam Gn	4.535714285714286	3.2088674817766463
Veenendaal Ut	5.053571428571429	3.19848142351423
Veghel NB	4.625	3.330601828438895
Velddriel Gl	4.888888888888889	3.3272165369104454
Venlo Lb	4.719298245614035	3.436949345103481
Vessem NB	4.696428571428571	3.4094949449811662
Vlissingen Ze	4.857142857142857	3.2909134456089566
Voerendaal Lb	4.648148148148148	3.29415045844184
Volendam NH	5.017543859649122	2.883453369140625
Vollenhove Ov	4.9298245614035086	3.3738981548108558
Voorst Gl	4.807017543859649	3.4879916007058664
Voorthuizen Gl	5.125	3.22003664289202
Vorden Gl	4.962962962962963	3.349532515914352
Vreeswijk Ut	5.315789473684211	3.051666259765625
Vriezenveen Ov	4.696428571428571	3.548443385532924
Waardenburg Gl	4.631578947368421	3.4040655838815788
Wagenborgen Gn	4.777777777777778	3.212493331344039
Wanssum Lb	4.963636363636364	3.3919777610085227
Wapse Dr	4.771929824561403	3.1662948340700385
Wateringen ZH	4.962962962962963	3.1021655047381365
Werkhoven Ut	5.350877192982456	3.0221878854851973
Westerbork Dr	4.491228070175438	3.118444342362253
Westkapelle Ze	4.892857142857143	3.354496274675642
Wierden Ov	4.528301886792453	3.86922238907724
Wijdenes NH	4.789473684210527	3.38031220017818
Wijhe Ov	4.508771929824562	3.623534620853893
Wijk bij Duurstede Ut	4.87719298245614	3.268852903131853
Willemstad NB	4.696428571428571	3.3535690307617188
Wilp Gl	4.821428571428571	3.515901838030134
Windesheim Ov	4.5	3.52127922905816
Winterswijk Gl	5.142857142857143	3.426955359322684
Wissenkerke Ze	4.946428571428571	3.3109027317592075
Woudenberg Ut	4.982142857142857	3.274847848074777
Wouw NB	4.789473684210527	3.0633378949081687
Zaandijk NH	4.87719298245614	3.2871307908442984
Zalk Ov	4.481481481481482	3.3992917096173323
Zandvoort NH	4.854545454545455	3.2840587269176136
Zeddam Gl	5.181818181818182	3.0574440696022727
Zeeland NB	4.666666666666667	3.269971880996436
Zegveld Ut	5.43859649122807	2.7301983749657346
Zelhem Gl	5.12280701754386	3.353537576240406
Zetten Gl	4.745454545454545	3.1076080322265627
Zevenaar Gl	4.589285714285714	3.4485645294189453
Zevenbergen NB	4.75	3.3834411076137
Zierikzee Ze	5.017857142857143	3.3475892203194757
Zieuwent Gl	4.964912280701754	3.332876105057566
Zoetermeer ZH	5.517857142857143	2.959437234061105
Zoutkamp Gn	4.508771929824562	3.3977827105605813
Zuiddorpe Ze	4.767857142857143	3.393962860107422
Zuid-Sleen Dr	4.631578947368421	3.2368967156661186
Zuidzande Ze	4.607142857142857	3.372953142438616
Zundert NB	4.894736842105263	3.3416094863623904
Zutphen Gl	5.228070175438597	3.172597517047012
Zwartsluis Ov	4.508771929824562	3.423322711074561
Zwinderen Dr	4.508771929824562	3.24755645216557
Zwolle Ov	4.7368421052631575	3.475629304584704
